类别：所有类别

周,Trunk: (美国)
2020-06-21,36
2020-06-28,39
2020-07-05,34
2020-07-12,35
2020-07-19,37
2020-07-26,35
2020-08-02,35
2020-08-09,34
2020-08-16,34
2020-08-23,33
2020-08-30,33
2020-09-06,31
2020-09-13,32
2020-09-20,37
2020-09-27,35
2020-10-04,39
2020-10-11,43
2020-10-18,50
2020-10-25,100
2020-11-01,26
2020-11-08,32
2020-11-15,31
2020-11-22,29
2020-11-29,31
2020-12-06,29
2020-12-13,28
2020-12-20,30
2020-12-27,29
2021-01-03,26
2021-01-10,26
2021-01-17,28
2021-01-24,29
2021-01-31,32
2021-02-07,29
2021-02-14,28
2021-02-21,31
2021-02-28,29
2021-03-07,35
2021-03-14,31
2021-03-21,32
2021-03-28,31
2021-04-04,33
2021-04-11,34
2021-04-18,34
2021-04-25,33
2021-05-02,32
2021-05-09,33
2021-05-16,33
2021-05-23,35
2021-05-30,37
2021-06-06,34
2021-06-13,37
