类别：所有类别

周,Voltmeter: (美国)
2020-06-21,72
2020-06-28,63
2020-07-05,78
2020-07-12,70
2020-07-19,68
2020-07-26,78
2020-08-02,75
2020-08-09,63
2020-08-16,66
2020-08-23,41
2020-08-30,77
2020-09-06,46
2020-09-13,72
2020-09-20,80
2020-09-27,65
2020-10-04,65
2020-10-11,73
2020-10-18,68
2020-10-25,54
2020-11-01,56
2020-11-08,62
2020-11-15,73
2020-11-22,41
2020-11-29,52
2020-12-06,57
2020-12-13,69
2020-12-20,51
2020-12-27,59
2021-01-03,61
2021-01-10,62
2021-01-17,93
2021-01-24,67
2021-01-31,84
2021-02-07,62
2021-02-14,60
2021-02-21,79
2021-02-28,63
2021-03-07,92
2021-03-14,68
2021-03-21,66
2021-03-28,73
2021-04-04,66
2021-04-11,89
2021-04-18,100
2021-04-25,83
2021-05-02,58
2021-05-09,73
2021-05-16,91
2021-05-23,73
2021-05-30,44
2021-06-06,70
2021-06-13,49
