类别：所有类别

周,Water Temp: (美国)
2020-06-21,64
2020-06-28,73
2020-07-05,67
2020-07-12,68
2020-07-19,70
2020-07-26,69
2020-08-02,66
2020-08-09,66
2020-08-16,63
2020-08-23,55
2020-08-30,61
2020-09-06,57
2020-09-13,58
2020-09-20,72
2020-09-27,64
2020-10-04,62
2020-10-11,57
2020-10-18,55
2020-10-25,62
2020-11-01,51
2020-11-08,46
2020-11-15,52
2020-11-22,62
2020-11-29,49
2020-12-06,49
2020-12-13,50
2020-12-20,47
2020-12-27,74
2021-01-03,52
2021-01-10,54
2021-01-17,54
2021-01-24,50
2021-01-31,53
2021-02-07,66
2021-02-14,84
2021-02-21,73
2021-02-28,78
2021-03-07,74
2021-03-14,66
2021-03-21,93
2021-03-28,78
2021-04-04,94
2021-04-11,72
2021-04-18,65
2021-04-25,86
2021-05-02,79
2021-05-09,78
2021-05-16,87
2021-05-23,80
2021-05-30,100
2021-06-06,90
2021-06-13,77
