类别：所有类别

周,Waxes: (美国)
2020-06-21,38
2020-06-28,54
2020-07-05,47
2020-07-12,57
2020-07-19,64
2020-07-26,45
2020-08-02,48
2020-08-09,63
2020-08-16,53
2020-08-23,40
2020-08-30,90
2020-09-06,97
2020-09-13,81
2020-09-20,89
2020-09-27,72
2020-10-04,81
2020-10-11,57
2020-10-18,57
2020-10-25,47
2020-11-01,42
2020-11-08,38
2020-11-15,36
2020-11-22,47
2020-11-29,58
2020-12-06,65
2020-12-13,63
2020-12-20,46
2020-12-27,54
2021-01-03,63
2021-01-10,64
2021-01-17,67
2021-01-24,87
2021-01-31,67
2021-02-07,74
2021-02-14,52
2021-02-21,62
2021-02-28,59
2021-03-07,75
2021-03-14,61
2021-03-21,69
2021-03-28,57
2021-04-04,72
2021-04-11,88
2021-04-18,59
2021-04-25,100
2021-05-02,46
2021-05-09,57
2021-05-16,63
2021-05-23,70
2021-05-30,82
2021-06-06,57
2021-06-13,85
