类别：所有类别

周,Window: (美国)
2020-06-21,81
2020-06-28,79
2020-07-05,84
2020-07-12,81
2020-07-19,83
2020-07-26,80
2020-08-02,74
2020-08-09,78
2020-08-16,77
2020-08-23,71
2020-08-30,68
2020-09-06,68
2020-09-13,64
2020-09-20,65
2020-09-27,66
2020-10-04,65
2020-10-11,65
2020-10-18,62
2020-10-25,63
2020-11-01,50
2020-11-08,61
2020-11-15,61
2020-11-22,58
2020-11-29,58
2020-12-06,58
2020-12-13,54
2020-12-20,49
2020-12-27,55
2021-01-03,55
2021-01-10,58
2021-01-17,59
2021-01-24,59
2021-01-31,58
2021-02-07,57
2021-02-14,57
2021-02-21,62
2021-02-28,65
2021-03-07,69
2021-03-14,69
2021-03-21,73
2021-03-28,74
2021-04-04,74
2021-04-11,72
2021-04-18,71
2021-04-25,74
2021-05-02,73
2021-05-09,79
2021-05-16,100
2021-05-23,87
2021-05-30,78
2021-06-06,86
2021-06-13,85
