类别：所有类别

周,Windows: (美国)
2020-06-21,93
2020-06-28,91
2020-07-05,96
2020-07-12,97
2020-07-19,94
2020-07-26,90
2020-08-02,95
2020-08-09,95
2020-08-16,100
2020-08-23,96
2020-08-30,95
2020-09-06,93
2020-09-13,91
2020-09-20,91
2020-09-27,87
2020-10-04,89
2020-10-11,84
2020-10-18,84
2020-10-25,80
2020-11-01,67
2020-11-08,81
2020-11-15,81
2020-11-22,75
2020-11-29,83
2020-12-06,84
2020-12-13,81
2020-12-20,73
2020-12-27,73
2021-01-03,79
2021-01-10,84
2021-01-17,79
2021-01-24,85
2021-01-31,83
2021-02-07,79
2021-02-14,81
2021-02-21,81
2021-02-28,81
2021-03-07,83
2021-03-14,80
2021-03-21,82
2021-03-28,80
2021-04-04,77
2021-04-11,80
2021-04-18,78
2021-04-25,76
2021-05-02,75
2021-05-09,78
2021-05-16,74
2021-05-23,75
2021-05-30,73
2021-06-06,80
2021-06-13,79
