类别：所有类别

周,Wiper: (美国)
2020-06-21,48
2020-06-28,44
2020-07-05,42
2020-07-12,45
2020-07-19,46
2020-07-26,46
2020-08-02,43
2020-08-09,50
2020-08-16,46
2020-08-23,46
2020-08-30,46
2020-09-06,50
2020-09-13,48
2020-09-20,50
2020-09-27,57
2020-10-04,56
2020-10-11,65
2020-10-18,76
2020-10-25,73
2020-11-01,51
2020-11-08,64
2020-11-15,55
2020-11-22,57
2020-11-29,56
2020-12-06,55
2020-12-13,76
2020-12-20,68
2020-12-27,80
2021-01-03,65
2021-01-10,59
2021-01-17,62
2021-01-24,80
2021-01-31,83
2021-02-07,87
2021-02-14,100
2021-02-21,82
2021-02-28,75
2021-03-07,72
2021-03-14,81
2021-03-21,77
2021-03-28,68
2021-04-04,64
2021-04-11,69
2021-04-18,66
2021-04-25,66
2021-05-02,61
2021-05-09,57
2021-05-16,58
2021-05-23,60
2021-05-30,56
2021-06-06,55
2021-06-13,54
